"NEAREST_IN,C,20","RATE,C,20","TIME_LIMIT,C,20","CREDIT_CAR,C,20","TYPE,C,20","MAPID,C,20","LOCATION,C,20","RUSH_HR_RE,C,20","TIME_IN_EF,C,20"
,n/a,no,,Non-Metered Motorcyc,MOTOR083,South East Corner 10,,
,n/a,no,,Non-Metered Motorcyc,MOTOR084,North East Corner 10,,
,n/a,no,,Non-Metered Motorcyc,MOTOR085,North West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR086,South of Richards,,
,n/a,no,,Non-Metered Motorcyc,MOTOR087,North West Corner 50,,
,n/a,no,,Non-Metered Motorcyc,MOTOR088,South East Corner 60,,
,n/a,no,,Non-Metered Motorcyc,MOTOR089,North West Corner 23,,
,n/a,no,,Non-Metered Motorcyc,MOTOR090,South West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR091,North East Corner 14,,
,n/a,no,,Non-Metered Motorcyc,MOTOR092,North West Corner 15,,
,n/a,no,,Non-Metered Motorcyc,MOTOR093,South West Corner 40,,
,n/a,no,,Non-Metered Motorcyc,MOTOR094,South West Corner 50,,
,n/a,no,,Non-Metered Motorcyc,MOTOR095,North West Corner 14,,
,n/a,no,,Non-Metered Motorcyc,MOTOR096,North of Burnaby 120,,
,n/a,no,,Non-Metered Motorcyc,MOTOR097,South of Burnaby 120,,
,n/a,no,,Non-Metered Motorcyc,MOTOR098,South East Corner 14,,
,n/a,no,,Non-Metered Motorcyc,MOTOR099,North West Corner 26,,
,n/a,no,,Non-Metered Motorcyc,MOTOR100,North East Corner 15,,
,n/a,no,,Non-Metered Motorcyc,MOTOR101,South West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR102,North West Corner 53,,
,n/a,no,,Non-Metered Motorcyc,MOTOR103,North West Corner 55,,
,n/a,no,,Non-Metered Motorcyc,MOTOR104,South East Corner 55,,
,n/a,no,,Non-Metered Motorcyc,MOTOR105,South East Corner 55,,
,n/a,no,,Non-Metered Motorcyc,MOTOR106,North West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR107,North West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR108,South East Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR109,North West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR110,South East Corner 90,,
,n/a,no,,Non-Metered Motorcyc,MOTOR111,North East Corner 10,,
,n/a,no,,Non-Metered Motorcyc,MOTOR112,South West Corner 26,,
,n/a,no,,Non-Metered Motorcyc,MOTOR113,North East Corner 27,,
,n/a,no,,Non-Metered Motorcyc,MOTOR114,South West Corner 35,,
,n/a,no,,Non-Metered Motorcyc,MOTOR115,North East Corner 36,,
,n/a,no,,Non-Metered Motorcyc,MOTOR116,South West Corner 14,,
,n/a,no,,Non-Metered Motorcyc,MOTOR117,South West Corner 14,,
,n/a,no,,Non-Metered Motorcyc,MOTOR118,North East Corner 0W,,
,n/a,no,,Non-Metered Motorcyc,MOTOR119,South West Corner 23,,
,n/a,no,,Non-Metered Motorcyc,MOTOR120,South West Corner 34,,
,n/a,no,,Non-Metered Motorcyc,MOTOR121,North Side 60m West,,
,n/a,no,,Non-Metered Motorcyc,MOTOR122,South East Corner 20,,
,n/a,no,,Non-Metered Motorcyc,MOTOR123,North West Corner 60,,
,n/a,no,,Non-Metered Motorcyc,MOTOR124,South East Corner 16,,
,n/a,no,,Non-Metered Motorcyc,MOTOR125,East Side near lane,,
,n/a,no,,Non-Metered Motorcyc,MOTOR126,North West Corner,,
,n/a,no,,Non-Metered Motorcyc,MOTOR127,North East Corner,,
